"lemma","part_of_speech","dle_lemma","dle_url","is_model_verb","model_verbs"
"llevar","verbo","llevar","https://dle.rae.es/llevar#NVdZd3s","0",""
"mío","posesivo","mío","https://dle.rae.es/m%C3%ADo#PLHnXR2","",""
"forma","sustantivo","forma","https://dle.rae.es/forma#IEvo12v","",""
"después","adverbio","después","https://dle.rae.es/despu%C3%A9s#DQBHjWr","",""
"grupo","sustantivo","grupo","https://dle.rae.es/grupo#JaoUQPQ","",""
"equipo","sustantivo","equipo","https://dle.rae.es/equipo#G09HIAP","",""
"bueno","adjetivo","bueno","https://dle.rae.es/bueno#6EawoZ6","",""
"qué","interrogativo","qué","https://dle.rae.es/qu%C3%A9#UkdF1CE","",""
"realizar","verbo","realizar","https://dle.rae.es/realizar#VHUV2Pi","0",""
"saber","verbo","saber","https://dle.rae.es/saber#WsvRvUO","1",""
"momento","sustantivo","momento","https://dle.rae.es/momento#Pbn1zcv","",""
"aunque","conjunción","aunque","https://dle.rae.es/aunque#4OhVnbA","",""
"hoy","adverbio","hoy","https://dle.rae.es/hoy#KiRLAuG","",""
"ahora","adverbio","ahora","https://dle.rae.es/ahora#1IKnuuy","",""
"partido","sustantivo","partido","https://dle.rae.es/partido#S0p77Fb","",""
"dejar","verbo","dejar","https://dle.rae.es/dejar#C5aUM2o","0",""
"ante","preposición","ante","https://dle.rae.es/ante#2lpQu7Z","",""
"mejor","adjetivo","mejor","https://dle.rae.es/mejor#OnhZjCP","",""
"caso","sustantivo","caso","https://dle.rae.es/caso#7pG16he","",""
"estado","sustantivo","estado","https://dle.rae.es/estado#GjqhajH","",""
"lugar","sustantivo","lugar","https://dle.rae.es/lugar#NgMEY5T","",""
"presentar","verbo","presentar","https://dle.rae.es/presentar#U67k94e","0",""
"social","adjetivo","social","https://dle.rae.es/social#YBny63i","",""
"así","adverbio","así","https://dle.rae.es/as%C3%AD#3zT41MT","",""
"punto","sustantivo","punto","https://dle.rae.es/punto#UgMIq14","",""
"mujer","sustantivo","mujer","https://dle.rae.es/mujer#Q1vMnRp","",""
"problema","sustantivo","problema","https://dle.rae.es/problema#UELp1NP","",""
"público","adjetivo","público","https://dle.rae.es/p%C3%BAblico#UYbbTs8","",""
"hora","sustantivo","hora","https://dle.rae.es/hora#KdzJ1hu","",""
"tratar","verbo","tratar","https://dle.rae.es/tratar#aX264Ov","0",""
"importante","adjetivo","importante","https://dle.rae.es/importante#L5YDmwE","",""
"contar","verbo","contar","https://dle.rae.es/contar#AU4bUpJ","1",""
"sistema","sustantivo","sistema","https://dle.rae.es/sistema#Y2AFX5s","",""
"contra","preposición","contra","https://dle.rae.es/contra#AWCzXfA","",""
"segundo","numeral","segundo","https://dle.rae.es/segundo#XTUS1jC","",""
"obra","sustantivo","obra","https://dle.rae.es/obra#QnrhaT6","",""
"antes","adverbio","antes","https://dle.rae.es/antes#2oDyn3W","",""
"mes","sustantivo","mes","https://dle.rae.es/mes#P1koJRU","",""
"permitir","verbo","permitir","https://dle.rae.es/permitir#SfueKr8","0",""
"además","adverbio","además","https://dle.rae.es/adem%C3%A1s#0ilf0VH","",""
"conocer","verbo","conocer","https://dle.rae.es/conocer#AMmujSR","0","agradecer"
"quedar","verbo","quedar","https://dle.rae.es/quedar#UloraJw","0",""
"poner","verbo","poner","https://dle.rae.es/poner#TdpEAZG","1",""
"empresa","sustantivo","empresa","https://dle.rae.es/empresa#EsuT8Fg","",""
"historia","sustantivo","historia","https://dle.rae.es/historia#KWv1mdi","",""
"ni","conjunción","ni","https://dle.rae.es/ni#QTWFGC3","",""
"sino","conjunción","sino","https://dle.rae.es/sino#XywriSz","",""
"medio","sustantivo","medio","https://dle.rae.es/medio#OlQ6yC8","",""
"explicar","verbo","explicar","https://dle.rae.es/explicar#HJbpHBZ","0",""
"proyecto","sustantivo","proyecto","https://dle.rae.es/proyecto#UV6hPaS","",""
"estudio","sustantivo","estudio","https://dle.rae.es/estudio#H1wXiTi","",""
"centro","sustantivo","centro","https://dle.rae.es/centro#8Gb7uJH","",""
"ciudad","sustantivo","ciudad","https://dle.rae.es/ciudad#9NXUyRH","",""
"político","adjetivo","político","https://dle.rae.es/pol%C3%ADtico#Ta2HMYR","",""
"cual","relativo","cual","https://dle.rae.es/cual#BRJtgeC","",""
"siempre","adverbio","siempre","https://dle.rae.es/siempre#XpgXJJL","",""
"niño","sustantivo","niño","https://dle.rae.es/ni%C3%B1o#QW5mMvv","",""
"cambio","sustantivo","cambio","https://dle.rae.es/cambio#6vurcOd","",""
"varios","cuantificador","varios","https://dle.rae.es/vario#bO1R2gT","",""
"semana","sustantivo","semana","https://dle.rae.es/semana#XV9JZTZ","",""
"propio","adjetivo","propio","https://dle.rae.es/propio#UOGLw3j","",""
"servicio","sustantivo","servicio","https://dle.rae.es/servicio#XhXvJqs","",""
"tras","preposición","tras","https://dle.rae.es/tras#aOnVELH","",""
"tipo","sustantivo","tipo","https://dle.rae.es/tipo#ZpMjpMC","",""
"cómo","adverbio","cómo","https://dle.rae.es/c%C3%B3mo#9xX6XpW","",""
"considerar","verbo","considerar","https://dle.rae.es/considerar#APmTJ4I","0",""
"bien","adverbio","bien","https://dle.rae.es/bien#5TkGdE0","",""
"manera","sustantivo","manera","https://dle.rae.es/manera#OB5pmz0","",""
"nivel","sustantivo","nivel","https://dle.rae.es/nivel#QXQuTmp","",""
"proceso","sustantivo","proceso","https://dle.rae.es/proceso#UFbxsxz","",""
"tomar","verbo","tomar","https://dle.rae.es/tomar#ZzcN8W0","0",""
"hablar","verbo","hablar","https://dle.rae.es/hablar#JvzNhyI","0",""
"general","adjetivo","general","https://dle.rae.es/general#J3mD89u","",""
"creer","verbo","creer","https://dle.rae.es/creer#BDrUtPH","0","leer"
"alto","adjetivo","alto","https://dle.rae.es/alto#27ieUu8","",""
"trabajar","verbo","trabajar","https://dle.rae.es/trabajar#aBpHmn0","0",""
"más","cuantificador","más","https://dle.rae.es/m%C3%A1s#OWErHxJ","",""
"mantener","verbo","mantener","https://dle.rae.es/mantener#OH45BSY","0","tener"
"director","sustantivo","director","https://dle.rae.es/director#Dr2pXbN","",""
"yo","pronombre personal","yo","https://dle.rae.es/yo#cCEHAgu","",""
"cuatro","numeral","cuatro","https://dle.rae.es/cuatro#BV2fIc4","",""
"asegurar","verbo","asegurar","https://dle.rae.es/asegurar#3wrkyXf","0",""
"hombre","sustantivo","hombre","https://dle.rae.es/hombre#KaXUUZz","",""
"vivir","verbo","vivir","https://dle.rae.es/vivir#byZS22V","0",""
"resultado","sustantivo","resultado","https://dle.rae.es/resultado#WFEiuh7","",""
"existir","verbo","existir","https://dle.rae.es/existir#HG4021Y","0",""
"recibir","verbo","recibir","https://dle.rae.es/recibir#VQtl8Xn","0",""
"cosa","sustantivo","cosa","https://dle.rae.es/cosa#B3yTydM","",""
"salud","sustantivo","salud","https://dle.rae.es/salud#X7MRZku","",""
"parecer","verbo","parecer","https://dle.rae.es/parecer#RuYJV1j","0","agradecer"
"señalar","verbo","señalar","https://dle.rae.es/se%C3%B1alar#XbqWuzX","0",""
"menos","adverbio","menos","https://dle.rae.es/menos#OuzZNmN","",""
"internacional","adjetivo","internacional","https://dle.rae.es/internacional#LvcJGq6","",""
"programa","sustantivo","programa","https://dle.rae.es/programa#UJPgYGO","",""
"ayer","adverbio","ayer","https://dle.rae.es/ayer#4c9npT2","",""
"llamar","verbo","llamar","https://dle.rae.es/llamar#NTReP1j","0",""
"próximo","adjetivo","próximo","https://dle.rae.es/pr%C3%B3ximo#UUvI491","",""
"situación","sustantivo","situación","https://dle.rae.es/situaci%C3%B3n#Y2tFDC0","",""
"casa","sustantivo","casa","https://dle.rae.es/casa#7lsKMtR","",""
"esperar","verbo","esperar","https://dle.rae.es/esperar#GYqGDs8","0",""
"salir","verbo","salir","https://dle.rae.es/salir#X42OtRP","1",""
"buscar","verbo","buscar","https://dle.rae.es/buscar#6LB1acb","0",""
